Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;11;;Rifer. D.D.T. n¡ 5.355 del 11/09/2023;;;;;;
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;414.34;12;9788873348375;aa.vv. IMPARO MI DIVERTO CL.3_completo;25.65;20;513;20;Û 414,34;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;1214.59;13;9788873348023;aa.vv. VOCE DELLA TERRA CL. 4_area antr compl.;10.3;146;1503.8;20;Û 1.214,59;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;1215.77;14;9788873348030;aa.vv. VOCE DELLA TERRA CL. 4_area matem compl;10.31;146;1505.26;20;Û 1.215,77;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;1570.13;15;9788873349006;aa.vv. VOCE TERRA PIU'CL. 5 area antro completo;12;162;1944;20;Û 1.570,13;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;1571.44;16;9788873349013;aa.vv. VOCE TERRA PIU' CL.5 area mate completo;12.01;162;1945.62;20;Û 1.571,44;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;17;9788873349198;AA.VV. VOCE TERRAPIU' CL.4_Guida STORIA;1;2;2;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;18;;Rifer. D.D.T. n¡ 5.406 del 13/09/2023;;;;;;
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;106.73;19;9788873340201;Gandolfi COMPITI LING. IT. PER POTENZIARE;3.7;60;222;54;Û 106,73;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;20;;Rifer. D.D.T. n¡ 5.806 del 22/09/2023;;;;;;
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0.05;21;9788873349457;AA VV GIALLO VERDE BLU Guida Italiano classe 1;1;1;1;99;Û 0,05;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;22;9788873349464;AA VV GIALLO VERDE BLU Guida Discipline cl. 1;1;5;5;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;23;;Rifer. D.D.T. n¡ 5.900 del 27/09/2023;;;;;;
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0.4;24;9788873343608;AA VV MISSIONE INVALSI 2023 ita2 SAGGIO;0.01;40;0.4;;Û 0,40;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0.4;25;9788873343592;AA VV MISSIONE INVALSI 2023 mate2 SAGGIO;0.01;40;0.4;;Û 0,40;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0.4;26;9788873343622;AA VV MISSIONE INVALSI 2023 ita5 SAGGIO;0.01;40;0.4;;Û 0,40;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0.4;27;9788873343615;AA VV MISSIONE INVALSI 2023 mate5 SAGGIO;0.01;40;0.4;;Û 0,40;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0.4;28;9788873343639;AA VV MISSIONE INVALSI 2023 ingl5 SAGGIO;0.01;40;0.4;;Û 0,40;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;29;;Rifer. D.D.T. n¡ 5.984 del 29/09/2023;;;;;;
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;22.07;30;9788873341055;Ventrella IMPARO L'ITALIANO Libro A;8.5;5;42.5;50;Û 22,07;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;22.07;31;9788873341062;Ventrella IMPARO L'ITALIANO Libro B;8.5;5;42.5;50;Û 22,07;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;20.77;32;9788873342649;Ventrella IMPARO L'ITALIANO Libro C;8;5;40;50;Û 20,77;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;22.07;33;9788873342113;Ventrella IMPARO LA MATEMATICA Libro C;8.5;5;42.5;50;Û 22,07;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;57.69;34;9788873341970;Zucchi ORTOGRAFIA PASSO PASSO;8;15;120;54;Û 57,69;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;35;9788873347903;aa.vv. IL MIO LIBRO FACILE cl.5 - Suss Discipl.;0.02;50;1;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;37.38;36;9788873343523;Grenzi CAA- Quaderno prerequisiti - Vol. A;18;4;72;50;Û 37,38;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;18.69;37;9788873343530;Grenzi CAA- Quaderno prerequisiti - Vol. B;18;2;36;50;Û 18,69;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;94.43;38;sp;Spese Trasporto;;;;;Û 94,43;
