Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;51.92;14;9788873340829;aa.vv. LAB. MATEMATICA + PERCORSO 3¡ LIV.;25;4;100;50;51,92 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;24.4;15;9788873341277;Gandolfi VALUTAZIONE scuola primaria;23.5;2;47;50;24,40 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;20.77;16;9788873340263;Rampoldi IL CLUB DI LEONARDO PER INIZIARE;4.8;9;43.2;54;20,77 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;10.19;17;9788873340270;Rampoldi IL CLUB DI LEONARDO PER PROGREDIRE;5.3;4;21.2;54;10,19 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;7.64;18;9788873340287;Rampoldi IL CLUB DI LEONARDO PER SCOPRIRE;5.3;3;15.9;54;7,64 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;20.87;19;9788873340294;Rampoldi IL CLUB DI LEONARDO PER APPROFONDIRE;6.2;7;43.4;54;20,87 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;32.79;20;9788873340300;Rampoldi IL CLUB DI LEONARDO PER POTENZIARE;6.2;11;68.2;54;32,79 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;38.94;21;9788873340317;aa.vv. LABORATORIO PER LE ATTIVITA' MOTORIE;25;3;75;50;38,94 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.92;22;9788873340379;aa.vv. BUONO A SAPERSI! PER INIZIARE;6.2;4;24.8;54;11,92 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.92;23;9788873340386;aa.vv. BUONO A SAPERSI! PER PROGREDIRE;6.2;4;24.8;54;11,92 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.92;24;9788873340393;aa.vv. BUONO A SAPERSI! PER SCOPRIRE;6.2;4;24.8;54;11,92 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;3.17;25;9788873340409;aa.vv. BUONO A SAPERSI! PER APPROFONDIRE;6.6;1;6.6;54;3,17 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;9.52;26;9788873340416;aa.vv. BUONO A SAPERSI! PER POTENZIARE;6.6;3;19.8;54;9,52 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.42;27;9788873340447;aa.vv. PAROLE PER IL MONDO - TUTTI A SCUOLA;5.5;4;22;50;11,42 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;5.71;28;9788873340454;aa.vv. PAROLE PER IL MONDO - LA CASA;5.5;2;11;50;5,71 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.42;29;9788873340478;aa.vv. PAROLE PER IL MONDO - MI PIACE...;5.5;4;22;50;11,42 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.42;30;9788873340485;aa.vv. PAROLE PER IL MONDO - L'AMBIENTE;5.5;4;22;50;11,42 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;31.2;31;9788873340614;Valerio COME Si scrive PER INIZIARE;5.9;11;64.9;54;31,20 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;17.02;32;9788873340621;Valerio COME Si scrive PER PROGREDIRE;5.9;6;35.4;54;17,02 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;14.18;33;9788873340645;Valerio COME Si scrive PER APPROFONDIRE;5.9;5;29.5;54;14,18 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;60.58;34;9788873340669;Gandolfi CON PAROLE MIE;14;9;126;54;60,58 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;17.02;35;9788873340836;Pagano COME Si conta PER INIZIARE;5.9;6;35.4;54;17,02 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;22.69;36;9788873340843;Pagano COME Si conta PER PROGREDIRE;5.9;8;47.2;54;22,69 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;19.86;37;9788873340867;Pagano COME Si conta PER APPROFONDIRE;5.9;7;41.3;54;19,86 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;6.75;38;9788873340683;aa.vv. RISORSE-IMPARO CON L'ARTEsegno e disegno;6.5;2;13;50;6,75 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;19.99;39;9788873340706;aa.vv. RISORSE-ALLE ORIGINI DELLA MUSICA;5.5;7;38.5;50;19,99 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;8.57;40;9788873340713;aa.vv. RISORSE-PRIMA POESIA;5.5;3;16.5;50;8,57 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;6.75;41;9788873340720;aa.vv. RISORSE-IMPARO CON L'ARTE il colore;6.5;2;13;50;6,75 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;14.28;42;9788873340744;aa.vv. RISORSE-FACCIAMO TEATRO le ombre;5.5;5;27.5;50;14,28 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;5.71;43;9788873340881;aa.vv. RISORSE-VIVERE IN MESOPOTAMIA;5.5;2;11;50;5,71 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;8.57;44;9788873340898;aa.vv. RISORSE-LA SCATOLA DELLE MERAVIGLIE;5.5;3;16.5;50;8,57 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;5.71;45;9788873340911;aa.vv. RISORSE-PAROLE IN FORMA DI POESIA;5.5;2;11;50;5,71 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;5.71;46;9788873341147;aa.vv. RISORSE-PRIMI NUMERI E CALCOLI;5.5;2;11;50;5,71 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;14.28;47;9788873341529;aa.vv. RISORSE-LA STORIA PERSONALE;5.5;5;27.5;50;14,28 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;6.75;48;9788873341536;aa.vv. RISORSE-ARTE e ARTISTI Wassily Kandinsky;6.5;2;13;50;6,75 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;14.28;49;9788873341567;aa.vv. RISORSE-ALIMENTAZIONE;5.5;5;27.5;50;14,28 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;6.75;50;9788873342144;aa.vv. RISORSE-DAL FROTTAGE ALLA STAMPA;6.5;2;13;50;6,75 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;5.19;51;9788873342731;aa.vv. RISORSE-LABORATORIO CITTADINANZA+quad;10;1;10;50;5,19 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;7.27;52;9788873342809;aa.vv. QUADERNO DELLA CITTADINANZA;3.5;4;14;50;7,27 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;18.69;53;9788873341093;Ventrella IMPARARE FACILE - P.E.I. e appr.predisc.;18;2;36;50;18,69 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;77.88;54;9788873341109;Ventrella IMPARARE FACILE - Lingua italiana;30;5;150;50;77,88 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;93.46;55;9788873341116;Ventrella IMPARARE FACILE - Matematica;30;6;180;50;93,46 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;77.88;56;9788873342663;Ventrella IMPARARE FACILE-Lingua Italiana 2¡ liv;30;5;150;50;77,88 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;72.69;57;9788873342106;Ventrella IMPARARE FACILE - Matematica 2¡ liv.;35;4;140;50;72,69 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;16.62;58;9788873342779;Ventrella IMPARARE FACILE-Lingua Italiana 3¡ liv.;32;1;32;50;16,62 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;5.71;59;9788873341048;Ventrella PER COMINCIARE;5.5;2;11;50;5,71 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;4.15;60;9788873342649;Ventrella IMPARO L'ITALIANO Libro C;8;1;8;50;4,15 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;8.83;61;9788873342786;Ventrella IMPARO L'ITALIANO Libro E;8.5;2;17;50;8,83 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;26.48;62;9788873342793;Ventrella IMPARO L'ITALIANO Libro F;8.5;6;51;50;26,48 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;26.48;63;9788873342113;Ventrella IMPARO LA MATEMATICA Libro C;8.5;6;51;50;26,48 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;31.15;64;9788873342120;Ventrella IMPARO LA MATEMATICA Libro D;7.5;8;60;50;31,15 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;31.15;65;9788873342137;Ventrella IMPARO LA MATEMATICA Libro E;7.5;8;60;50;31,15 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;17.13;66;9788873341130;aa.vv. GUIDAGENDA cl 1¡- Il diario settimanale;33;1;33;50;17,13 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;51.92;67;9788873341123;aa.vv. GUIDAGENDA cl 1¡- Lo schedario operativo;50;2;100;50;51,92 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;34.27;68;9788873341246;aa.vv. GUIDAGENDA cl 2¡- Il diario settimanale;33;2;66;50;34,27 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;51.92;69;9788873341239;aa.vv. GUIDAGENDA cl 2¡- Lo schedario operativo;50;2;100;50;51,92 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;31.15;70;9788873341451;aa.vv. GUIDAGENDA cl 4¡- Schedario operativo B;30;2;60;50;31,15 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;68.54;71;9788873341468;aa.vv. GUIDAGENDA cl 4¡ - Il diario settimanale;44;3;132;50;68,54 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;20.77;72;9788873341758;aa.vv. GUIDAGENDA cl 5¡- Schedario operativo A;40;1;40;50;20,77 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;31.15;73;9788873341765;aa.vv. GUIDAGENDA cl 5¡- Schedario operativo B;30;2;60;50;31,15 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;45.69;74;9788873341772;aa.vv. GUIDAGENDA cl 5¡ - Il diario settimanale;44;2;88;50;45,69 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;41.54;75;9788873342625;aa.vv. GUIDAGENDA CLIL CL. 4;20;4;80;50;41,54 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;31.15;76;9788873342724;aa.vv. GUIDAGENDA CLIL CL. 5;20;3;60;50;31,15 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;88.27;77;9788873343165;aa.vv. LA GUIDAGENDA - CODING;34;5;170;50;88,27 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;155.78;78;9788873342694;Grenzi CAA_Guida didattica+quaderno;30;10;300;50;155,78 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;177.58;79;9788873342878;Grenzi CAA-Il mio primo quaderno;18;19;342;50;177,58 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;7.21;80;9788873341161;Valerio 10 AMICI E TANTE STORIE- PRIME LETTURE;3;5;15;54;7,21 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;22.5;81;9788873341192;aa.vv. 10 AMICI E UN'AVVENTURA - PER SCOPRIRE;7.8;6;46.8;54;22,50 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;13.5;82;9788873341482;aa.vv. LA CICALA E LA FORMICA 2;13;2;26;50;13,50 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;13.5;83;9788873341499;aa.vv. LA CICALA E LA FORMICA 3;13;2;26;50;13,50 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;27;84;9788873341505;aa.vv. LA CICALA E LA FORMICA 4;13;4;52;50;27,00 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;27;85;9788873341512;aa.vv. LA CICALA E LA FORMICA 5;13;4;52;50;27,00 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;2.08;86;9788873341581;aa.vv. COMPITI PER L'ESTATE-ITALIANO 1+narr.;4;1;4;50;2,08 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;4.15;87;9788873341598;aa.vv. COMPITI PER L'ESTATE-ITALIANO 2+narr.;4;2;8;50;4,15 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;2.08;88;9788873341604;aa.vv. COMPITI PER L'ESTATE-ITALIANO 3+narr.;4;1;4;50;2,08 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;2.08;89;9788873341628;aa.vv. COMPITI PER L'ESTATE-MATEMATICA 1+narr.;4;1;4;50;2,08 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;6.23;90;9788873341635;aa.vv. COMPITI PER L'ESTATE-MATEMATICA 2+narr.;4;3;12;50;6,23 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0.26;91;9788873341703;aa.vv. BAOBAB 1 cartellina;0.5;1;0.5;50;0,26 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;391.72;92;9788873343103;aa.vv. PASS SCUOLA SECONDARIA;8.2;92;754.4;50;391,72 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;246.96;93;9788873342748;aa.vv. SOTTO QUESTO SOLE CL. 1 + narr;8.2;58;475.6;50;246,96 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;212.87;94;9788873342755;aa.vv. SOTTO QUESTO SOLE CL. 2 + narr;8.2;50;410;50;212,87 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;225.67;95;9788873342762;aa.vv. SOTTO QUESTO SOLE CL. 3 + narr;8.2;53;434.6;50;225,67 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;527.97;96;9788873342885;aa.vv. SOTTO QUESTO SOLE CL. 4 + narr;8.2;124;1016.8;50;527,97 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.78;97;9788873340980;Kipling BRUCHI-STORIE ELEFANTE E CAMMELLO;4.9;5;24.5;54;11,78 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.78;98;9788873340997;Esopo BRUCHI-FAVOLE A CATENA;4.9;5;24.5;54;11,78 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.78;99;9788873341000;Giacone BRUCHI-MITI E LEGGENDE Origini del Mondo;4.9;5;24.5;54;11,78 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;7.07;100;9788873341017;Vamba BRUCHI-LE AVVENTURE DI GIAN BURRASCA;4.9;3;14.7;54;7,07 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;11.78;101;9788873341024;Defoe BRUCHI-L'ISOLA DI ROBINSON;4.9;5;24.5;54;11,78 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;125.01;102;9788873341826;Valerio MISSIONE-ITALIANO per iniziare;5.2;50;260;54;125,01 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;5;103;9788873341840;Valerio MISSIONE-ITALIANO per scoprire;5.2;2;10.4;54;5,00 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;160.95;104;9788873341864;Papeschi MISSIONE-ITALIANO per potenziare;6.2;54;334.8;54;160,95 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;35;105;9788873341871;Pagano MISSIONE-MAT e SCIENZE per iniziare;5.2;14;72.8;54;35,00 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;40;106;9788873341888;Pagano MISSIONE-MAT e SCIENZE per progredire;5.2;16;83.2;54;40,00 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;77.5;107;9788873341895;Pagano MISSIONE-MAT e SCIENZE per scoprire;5.2;31;161.2;54;77,50 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;86.44;108;9788873341918;Pagano MISSIONE-MAT e SCIENZE per potenziare;6.2;29;179.8;54;86,44 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;84.81;109;9788873341925;Lancetti MISSIONE-STORIA GEOGRAFIA per iniziare;4.2;42;176.4;54;84,81 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;2.02;110;9788873341932;Lancetti MISSIONE-STORIA GEOGRAFIA per progredire;4.2;1;4.2;54;2,02 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;41.11;111;9788873341949;Lancetti MISSIONE-STORIA GEOGRAFIA per scoprire;4.5;19;85.5;54;41,11 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;80;112;9788873341956;Negri MISSIONE-STORIA GEOGRAFIA approfondire;5.2;32;166.4;54;80,00 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;107.49;113;9788873341963;Negri MISSIONE-STORIA GEOGRAFIA potenziare;5.2;43;223.6;54;107,49 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;34.62;114;9788873341970;Zucchi ORTOGRAFIA PASSO PASSO;8;9;72;54;34,62 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;24.66;115;9788873341987;aa.vv. CHI PARLA, CHI ASCOLTA;9.5;5;47.5;50;24,66 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;5.29;116;9788873342670;aa.vv. SCRIVERE PASSO PASSO_IL CORSIVO;5.5;2;11;54;5,29 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;63.46;117;9788873342687;aa.vv. SCRIVERE PASSO PASSO_STAMPATO MAIUSCOLO;5.5;24;132;54;63,46 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;103.85;118;9788873342311;aa.vv. LA MIA GUIDAGENDA 2-vol. A;20;10;200;50;103,85 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;23.37;119;9788873342328;aa.vv. LA MIA GUIDAGENDA 2-vol. B;15;3;45;50;23,37 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;186.91;120;9788873342366;aa.vv. LA MIA GUIDAGENDA 4-vol. B;20;18;360;50;186,91 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;233.64;121;9788873342373;aa.vv. LA MIA GUIDAGENDA 5-vol. A;25;18;450;50;233,64 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;41.54;122;9788873342380;aa.vv. LA MIA GUIDAGENDA 5-vol. B;20;4;80;50;41,54 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0.45;123;9788873347736;aa.vv. SCOPRIRE MI EMOZIONA-Diario delle Emoz.;0.56;1;0.56;20;0,45 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;124;9788873348528;aa.vv. PAROLA DI LIBRO! CL.4 - Guida;0.01;7;0.07;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;125;9788873348689;aa.vv. InvestigaTESTO cl.4 - Guida al testo;0.01;2;0.02;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;126;9788873346937;aa.v. SUSSIDIARIO DISCIPLINE CL. 5_GUIDA CLIL;0.01;3;0.03;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;127;9788873348467;aa.vv. LA VOCE DELLA TERRA cl. 4-Guida Mate;0.01;2;0.02;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;128;9788873348450;aa.vv. LA VOCE DELLA TERRA cl. 4-Guida Scienze;0.01;1;0.01;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;129;9788873348436;aa.vv. LA VOCE DELLA TERRA cl. 4-Guida Storia;0.01;5;0.05;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;130;9788873348696;aa.vv. LA VOCE DELLA TERRA cl. 5 - Guida Storia;0.01;1;0.01;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;131;9788873348702;aa.vv. LA VOCE DELLA TERRA cl. 5-Guida Geograf;0.01;1;0.01;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;132;9788873348719;aa.vv. LA VOCE DELLA TERRA cl. 5 - Guida Mate;0.01;1;0.01;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;133;9788873348726;aa.vv. LA VOCE DELLA TERRA cl. 5 -Guida Scienze;0.01;1;0.01;99.99;;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0.3;134;SOLGRAM4;aa.vv. PAROLA DI LIBRO 4 Gramm_Libro doc. soluz;0.01;30;0.3;;0,30 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0.17;135;SOLMAT4;aa.vv. VOCE DELLA TERRA 4 Mate_Libro doc. soluz;0.01;17;0.17;;0,17 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0.01;136;SOLMAT5;aa.vv. VOCE DELLA TERRA 5 Mate_Libro doc. soluz;0.01;1;0.01;;0,01 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0.31;137;INVTSOLGRAM4;aa.vv. InvestigaTESTO CL.4 Gramm-Libro doc. sol;0.01;31;0.31;;0,31 Û;74
